group,axis,trials,steps,mae,rmse,bias
all_observed,vx,41,4947,0.1292302054534295,0.1887020155231669,0.0553538673108863
all_observed,vy,41,4947,0.07549219524903865,0.1008524117936288,0.03389800696744351
all_observed,yaw_rate,41,4947,0.20788713157299718,0.32445873580205137,-0.040113972433804976
completed,vx,32,4800,0.11977795907058933,0.17349630957888024,0.044162448259551165
completed,vy,32,4800,0.07457591200108439,0.09980656117340998,0.03603375751309496
completed,yaw_rate,32,4800,0.19917557799558072,0.30954135706610053,-0.03234749038743758
failed_observed,vx,9,147,0.4378749853012715,0.4641600718455264,0.4207879587830532
failed_observed,vy,9,147,0.10541164824346291,0.13047512370555944,-0.035840786359950756
failed_observed,yaw_rate,9,147,0.49234602389679777,0.6435011266022933,-0.29371338619274046
