policy,trial_id,trace_rows,force_trace_present,trace_start_policy_step,force_on_policy_step,force_onset_steps_from_trace_start,force_rows,response_rows,final_trace_impulse_Ns,peak_external_force_N,both_contact_response_rate,any_contact_loss_response,peak_response_rel_speed_mps,mean_response_rel_speed_mps,peak_box_lin_speed_mps,peak_box_ang_speed_radps,mean_resistive_hand_force_N,peak_resistive_hand_force_N,mean_force_closure_residual,peak_force_closure_residual,mean_combined_hand_proxy_N,mean_hand_load_asymmetry
official,T0001,1420,1,2,217.0,215.0,160,560,0.7173563032277261,1.1036250591278076,1.0,0.0,0.3915848135948181,0.20933085095270404,1.4301252365112305,2.4737894535064697,-1.330968145733433,17.593347549438477,0.1851756128985601,0.6086974143981934,3.6706310869992844,0.06082712590336991
official,T0002,816,0,358,,,0,0,0.0,,,,,,,,,,,,,
official,T0003,6004,0,563,,,0,0,0.0,,,,,,,,,,,,,
official,T0004,6004,0,2065,,,0,0,0.0,,,,,,,,,,,,,
official,T0005,940,0,3567,,,0,0,0.0,,,,,,,,,,,,,
official,T0006,2428,0,3803,,,0,0,0.0,,,,,,,,,,,,,
official,T0007,1560,0,4411,,,0,0,0.0,,,,,,,,,,,,,
official,T0008,1596,1,4802,5036.0,234.0,260,660,6.345844344587279,5.518125534057617,0.9924242424242424,1.0,0.6817084550857544,0.3096772522863114,2.18438720703125,4.01707935333252,10.035424106376189,97.92388916015624,0.24884884261744888,0.9994664788246156,11.8869240663607,0.1580615899166415
official,T0009,1936,0,5202,,,0,0,0.0,,,,,,,,,,,,,
official,T0010,6004,0,5687,,,0,0,0.0,,,,,,,,,,,,,
official,T0011,2452,1,7189,7637.0,448.0,260,660,8.884181478051138,7.725375175476074,0.32727272727272727,1.0,1.1280913352966309,0.47487941911500514,2.0733208656311035,3.494393825531006,0.7297051902408853,9.533051490783691,0.7498171471405041,1.0,2.8271602976954346,0.07657373701680847
official,T0012,1664,1,7803,8004.0,201.0,460,860,16.609556668820634,7.725375175476074,0.7453488372093023,1.0,1.5775871276855469,0.4359705955006702,2.3487818241119385,4.434142112731934,-10.476966749439233,84.41871643066406,0.4361362481803828,1.0,14.088576580445434,0.1970527291426511
official,T0013,1404,1,8220,8431.0,211.0,160,560,6.456206247195179,9.932624816894531,0.9982142857142857,1.0,0.4406973123550415,0.21481139750020312,1.440356731414795,2.345881700515747,-6.538893202931753,5.045129776000977,0.1738656264966786,0.9836744666099548,8.159964663162828,0.11104059282058315
official,T0014,1192,0,8572,,,0,0,0.0,,,,,,,,,,,,,
official,T0015,1740,1,8871,9091.0,220.0,460,860,21.355143431265883,9.932624816894531,0.8732558139534884,1.0,1.296871781349182,0.33666212787461836,2.1013259887695312,4.528354167938232,-4.958268384953831,22.54604148864746,0.25300599906808796,1.0,7.196360485231894,0.10801672731451065
official,T0016,1424,1,9307,9523.0,216.0,160,560,7.890919763136582,12.13987636566162,0.9946428571428572,1.0,0.4105775654315948,0.22324039030021856,1.53453266620636,2.464850902557373,-1.47007687105132,36.19747543334961,0.10917303478095808,0.9860393404960632,4.324955276852208,0.0763848783489655
official,T0017,6004,0,9664,,,0,0,0.0,,,,,,,,,,,,,
official,T0018,3104,1,11166,11727.0,561.0,460,860,26.100734239432622,12.13987636566162,0.4744186046511628,1.0,1.418062448501587,0.3814695006712925,1.5736783742904663,10.096293449401855,1.5684816903283083,173.9187774658203,0.6172621239686038,1.0,5.219144195214261,0.18422804529667658
official,T0019,1552,1,11943,12191.0,248.0,160,560,0.7173562988880542,1.1036250591278076,0.9910714285714286,1.0,1.010084629058838,0.27166164634483203,1.7065694332122805,4.541496753692627,3.866293841485666,19.842397689819336,0.16051275115439367,0.9981715083122252,6.026555706188082,0.1244139534099044
official,T0020,1504,1,12332,12543.0,211.0,260,660,1.2691688266052608,1.1036250591278076,0.9893939393939394,1.0,0.5836775302886963,0.23360412612444523,1.8609365224838257,3.251749038696289,9.87926167553065,127.66574096679688,0.10309870900273106,0.9997215270996094,11.686525908609232,0.1500839183188597
official,T0021,6004,0,12709,,,0,0,0.0,,,,,,,,,,,,,
official,T0022,6004,0,14211,,,0,0,0.0,,,,,,,,,,,,,
official,T0023,1432,1,15713,15906.0,193.0,260,660,3.807506746060529,3.310875415802002,0.08181818181818182,1.0,2.286121368408203,0.9550270242672978,2.3577537536621094,16.50631332397461,4.068891436787266,176.4419403076172,0.837892817084988,1.0,7.370886588457859,0.17296078344172036
official,T0024,1844,1,16072,16318.0,246.0,460,860,7.118381674508578,3.310875177383423,0.708139534883721,1.0,1.509531021118164,0.4410090981354547,2.004960536956787,7.755475044250488,7.002517134964813,69.45210266113281,0.4091838747782763,1.0,8.042974258889986,0.11650718040736413
official,T0025,1480,1,16534,16764.0,230.0,160,560,3.586781315685712,5.518125057220459,0.9910714285714286,1.0,0.5598307251930237,0.2144081023189106,1.8234729766845703,4.1786723136901855,12.135058603861502,148.2036895751953,0.13435062188696714,0.9999675750732422,13.673627719655633,0.17709685608685635
official,T0026,1536,1,16905,17124.0,219.0,260,660,6.345843855942159,5.518125057220459,0.9257575757575758,1.0,1.3216651678085327,0.2685784855575273,1.8735333681106567,4.757460117340088,3.990746946435309,129.14219665527344,0.19011471279716882,1.0,6.426082655426228,0.10370759451426702
official,T0027,3060,0,17290,,,0,0,0.0,,,,,,,,,,,,,
official,T0028,6004,0,18056,,,0,0,0.0,,,,,,,,,,,,,
official,T0029,964,0,19558,,,0,0,0.0,,,,,,,,,,,,,
official,T0030,2004,0,19800,,,0,0,0.0,,,,,,,,,,,,,
official,T0031,1164,0,20302,,,0,0,0.0,,,,,,,,,,,,,
official,T0032,1512,1,20594,20807.0,213.0,260,660,11.422519615927683,9.932625770568848,0.9893939393939394,1.0,1.5857638120651243,0.2758837136016651,1.7820241451263428,3.9502363204956055,-8.83299983430823,24.37547492980957,0.1606309463774475,0.9996725916862488,13.447222116702434,0.1779062667130457
official,T0033,5624,0,20973,,,0,0,0.0,,,,,,,,,,,,,
official,T0034,1352,1,22380,22578.0,198.0,160,560,7.890919764477685,12.13987636566162,0.9964285714285714,1.0,1.8572173118591309,0.28663595994003116,2.1615915298461914,5.642213821411133,8.313266289453688,161.0797882080078,0.0760848190793435,0.8265851736068726,12.463666976562568,0.13217749828358394
official,T0035,5256,1,22719,23868.0,1149.0,260,660,13.960858900606986,12.139877319335938,0.38484848484848483,1.0,1.7981046438217163,0.5048438691562324,1.9300501346588133,3.28629469871521,6.355911419879306,133.38909912109375,0.6422916502197922,1.0,7.179172984849323,0.13531971732595455
