policy,policy_label,profile,trials,seeds,holds,force_scheduled_rate,physical_failure_rate,contact_loss_rate,final_confirmed_carry_rate,task_success_rate,median_object2goal_distance,median_max_rel_speed
official,official carrybox.pt,smooth_hold,216,"1,2,3","0.5,1.0,2.0",0.5046296296296297,0.5,0.44907407407407407,0.1111111111111111,0.3287037037037037,3.356173276901245,1.3533616065979004
pi,PI policy,smooth_hold,216,"1,2,3","0.5,1.0,2.0",0.6712962962962963,0.3333333333333333,0.4351851851851852,0.38425925925925924,0.06944444444444445,0.5897329747676849,0.8504931330680847
retrained,retrained.pt,half_sine,72,"1,2,3",0.0,0.8888888888888888,0.1111111111111111,0.6944444444444444,0.4722222222222222,0.0,0.46165046095848083,1.0343851447105408
